      Type       |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Image           | Intel                 | 00000000 | 01000000 | 3F2E7614 |  Intel image
 Region          | Descriptor            | 00000000 | 00001000 | 768479D3 | - Descriptor region
 Region          | ME                    | 00001000 | 003DA000 | C3A8A67C | - ME region
 IFWI header     |                       | 00001000 | 00000050 | 7272C8AE | -- IFWI 1.7 header
 Padding         | Non-empty             | 00001050 | 00000FB0 | D1D7B1DC | -- Padding
 IFWI partition  | Boot                  | 00002000 | 001A7000 | 4D006EA3 | -- Boot partition
 BPDT store      |                       | 00002000 | 000000A8 | E0DC9F6E | --- BPDT partition table
 BPDT entry      |                       | 00002018 | 0000000C | E67CFCFE | ---- Debug Launch Module
 BPDT entry      |                       | 00002024 | 0000000C | 91E22E0E | ---- IFP Bypass
 BPDT entry      |                       | 00002030 | 0000000C | E376B17F | ---- Secondary BPDT
 BPDT entry      |                       | 0000203C | 0000000C | B598744C | ---- ROM Boot Extensions
 BPDT entry      |                       | 00002048 | 0000000C | 7EDF8BEE | ---- UFS PHY Config
 BPDT entry      |                       | 00002054 | 0000000C | E57AC781 | ---- UFS GPP LUN
 BPDT entry      |                       | 00002060 | 0000000C | 0CDE7F8F | ---- OEM Key Manifest
 BPDT entry      |                       | 0000206C | 0000000C | DC9EEDB0 | ---- PMC
 BPDT entry      |                       | 00002078 | 0000000C | 32217940 | ---- Bring Up
 BPDT entry      |                       | 00002084 | 0000000C | FFA53880 | ---- TCSS FW PHY
 BPDT entry      |                       | 00002090 | 0000000C | 6F8A150D | ---- PCH Config
 BPDT entry      |                       | 0000209C | 0000000C | 67AA412D | ---- Dekel PHY
 Padding         | Empty (0xFF)          | 000020A8 | 00000F58 | B169EE27 | --- Padding
 BPDT partition  |                       | 00003000 | 00020000 | C678D60F | --- ROM Boot Extensions | ROM Boot Extensions
 CPD store       |                       | 00003000 | 0000005C | 0A1DBE32 | ---- CPD partition table
 CPD entry       |                       | 00003014 | 00000018 | 376BD256 | ----- RBEP.man
 CPD entry       |                       | 0000302C | 00000018 | 1158F869 | ----- rbe
 CPD entry       |                       | 00003044 | 00000018 | 5F4D85A0 | ----- rbe.met
 CPD partition   | Manifest              | 0000305C | 000006AC | 2E64497B | ---- RBEP.man
 CPD extension   |                       | 0000305C | 00000078 | F5F1791A | ----- Signed Package Info
 CPD SPI entry   |                       | 0000305C | 00000044 | 6DE5560E | ------ rbe
 CPD extension   |                       | 000030D4 | 00000068 | E5979EB4 | ----- IFWI Partition Manifest
 CPD extension   |                       | 0000313C | 0000003C | F21F1A33 | ----- Golden Measurement File Body
 CPD extension   |                       | 00003178 | 0000020C | A0E4A39F | ----- Golden Measurement File Certificate
 CPD partition   | Metadata              | 00003708 | 0000008C | 90D8B643 | ---- rbe.met
 CPD extension   |                       | 00003708 | 00000048 | 5E73442D | ----- Module Attributes
 CPD extension   |                       | 00003750 | 00000044 | 62514E7F | ----- Process Attributes
 Padding         | Empty (0xFF)          | 00003794 | 0000086C | 21751E25 | ---- Padding
 CPD partition   | Code                  | 00004000 | 0001627C | A68E5FD8 | ---- rbe
 Padding         | Empty (0xFF)          | 0001A27C | 00008D84 | 5B7340C4 | ---- Padding
 BPDT partition  |                       | 00023000 | 00040000 | 2D4A2759 | --- PMC | PMC
 CPD store       |                       | 00023000 | 0000008C | 15B9B502 | ---- CPD partition table
 CPD entry       |                       | 00023014 | 00000018 | A5C8B56E | ----- PMCP.man
 CPD entry       |                       | 0002302C | 00000018 | CFB2B13B | ----- PMCC000
 CPD entry       |                       | 00023044 | 00000018 | E50CF791 | ----- PMCC000.met
 CPD entry       |                       | 0002305C | 00000018 | ED82B27A | ----- ConstDat
 CPD entry       |                       | 00023074 | 00000018 | 1D275099 | ----- ConstDat.met
 CPD partition   | Manifest              | 0002308C | 000004A8 | 2CD5EA3F | ---- PMCP.man
 CPD extension   |                       | 0002308C | 000000BC | 99DF3DC9 | ----- Signed Package Info
 CPD SPI entry   |                       | 0002308C | 00000044 | 1A009A77 | ------ PMCC000
 CPD SPI entry   |                       | 000230D0 | 00000044 | 0B62B581 | ------ ConstDat
 CPD extension   |                       | 00023148 | 00000068 | 7135DC7D | ----- IFWI Partition Manifest
 CPD partition   | Metadata              | 00023534 | 00000048 | 645479F4 | ---- PMCC000.met
 CPD extension   |                       | 00023534 | 00000048 | 645479F4 | ----- Module Attributes
 CPD partition   | Metadata              | 0002357C | 00000048 | DB50FF52 | ---- ConstDat.met
 CPD extension   |                       | 0002357C | 00000048 | DB50FF52 | ----- Module Attributes
 Padding         | Empty (0xFF)          | 000235C4 | 0000003C | F48CF14D | ---- Padding
 CPD partition   | Code                  | 00023600 | 000159C4 | D1FFE78E | ---- PMCC000
 Padding         | Empty (0xFF)          | 00038FC4 | 0000003C | F48CF14D | ---- Padding
 CPD partition   | Code                  | 00039000 | 00000D78 | AF72EC64 | ---- ConstDat
 Padding         | Empty (0xFF)          | 00039D78 | 00029288 | 7966BB2C | ---- Padding
 BPDT partition  |                       | 00063000 | 00125000 | EB9D63F6 | --- Bring Up | Bring Up
 CPD store       |                       | 00063000 | 000002CC | E1BED7C0 | ---- CPD partition table
 CPD entry       |                       | 00063014 | 00000018 | 1BA73717 | ----- FTPR.man
 CPD entry       |                       | 0006302C | 00000018 | 9901C8FD | ----- rot.key
 CPD entry       |                       | 00063044 | 00000018 | 89BDFA03 | ----- fitc.cfg
 CPD entry       |                       | 0006305C | 00000018 | 4669689E | ----- kernel
 CPD entry       |                       | 00063074 | 00000018 | 64AE02A7 | ----- syslib
 CPD entry       |                       | 0006308C | 00000018 | DA023EC0 | ----- bup
 CPD entry       |                       | 000630A4 | 00000018 | 5DFB05A6 | ----- intl.cfg
 CPD entry       |                       | 000630BC | 00000018 | DB6224C8 | ----- intl.cfg.met
 CPD entry       |                       | 000630D4 | 00000018 | 64CAA0F3 | ----- pm
 CPD entry       |                       | 000630EC | 00000018 | F4FDB540 | ----- vfs
 CPD entry       |                       | 00063104 | 00000018 | 97E492A0 | ----- evtdisp
 CPD entry       |                       | 0006311C | 00000018 | 7A96CF65 | ----- loadmgr
 CPD entry       |                       | 00063134 | 00000018 | 31664B86 | ----- busdrv
 CPD entry       |                       | 0006314C | 00000018 | E7A680D2 | ----- prtc
 CPD entry       |                       | 00063164 | 00000018 | 8EB34509 | ----- smbus
 CPD entry       |                       | 0006317C | 00000018 | 6168E58A | ----- crypto
 CPD entry       |                       | 00063194 | 00000018 | 0C2CB4D2 | ----- fpf
 CPD entry       |                       | 000631AC | 00000018 | DD1CD3ED | ----- storage
 CPD entry       |                       | 000631C4 | 00000018 | D4F7B3EC | ----- gpio
 CPD entry       |                       | 000631DC | 00000018 | 23CA9F59 | ----- ipc_drv
 CPD entry       |                       | 000631F4 | 00000018 | 71975156 | ----- sec_msg
 CPD entry       |                       | 0006320C | 00000018 | 33B67720 | ----- policy
 CPD entry       |                       | 00063224 | 00000018 | AFE2107B | ----- heci
 CPD entry       |                       | 0006323C | 00000018 | F012D032 | ----- pmdrv
 CPD entry       |                       | 00063254 | 00000018 | 6E574063 | ----- maestro
 CPD entry       |                       | 0006326C | 00000018 | 167FAA3F | ----- fwupdate
 CPD entry       |                       | 00063284 | 00000018 | D507AF73 | ----- ptt
 CPD entry       |                       | 0006329C | 00000018 | 558450BA | ----- mca_boot
 CPD entry       |                       | 000632B4 | 00000018 | E1790660 | ----- mca_srv
 CPD partition   | Manifest              | 000632CC | 00000574 | 435F515D | ---- FTPR.man
 CPD extension   |                       | 000632CC | 000000C8 | 01D9A09A | ----- System Info
 CPD extension   |                       | 00063394 | 00000030 | 35F014EE | ----- Client System Info
 CPD extension   |                       | 000633C4 | 00000018 | E51A2BB6 | ----- Feature Permissions
 CPD extension   |                       | 000633DC | 00000078 | B2E0BA57 | ----- Signed Package Info
 CPD SPI entry   |                       | 000633DC | 00000044 | AED13ED9 | ------ intl.cfg
 CPD extension   |                       | 00063454 | 00000068 | 05DC347B | ----- IFWI Partition Manifest
 CPD partition   | Metadata              | 00063840 | 00000048 | 377AEF14 | ---- intl.cfg.met
 CPD extension   |                       | 00063840 | 00000048 | 377AEF14 | ----- Module Attributes
 Padding         | Empty (0xFF)          | 00063888 | 00000778 | 5F22A824 | ---- Padding
 CPD partition   | Code                  | 00064000 | 000007EC | 09C18C0A | ---- rot.key
 Padding         | Empty (0xFF)          | 000647EC | 00000014 | 2CF772B0 | ---- Padding
 CPD partition   | Code                  | 00064800 | 00013440 | E35BF42D | ---- kernel
 CPD partition   | Code                  | 00077C40 | 0001C8C0 | 78406CCA | ---- syslib
 CPD partition   | Code                  | 00094500 | 0003DB00 | F7947D17 | ---- bup
 CPD partition   | Code                  | 000D2000 | 0000287F | 4351145B | ---- intl.cfg
 Padding         | Empty (0xFF)          | 000D487F | 00000001 | FF000000 | ---- Padding
 CPD partition   | Code                  | 000D4880 | 00002D40 | 5E6E7C45 | ---- pm
 CPD partition   | Code                  | 000D75C0 | 000105C0 | 195215B2 | ---- vfs
 CPD partition   | Code                  | 000E7B80 | 00002900 | FB3118A2 | ---- evtdisp
 CPD partition   | Code                  | 000EA480 | 00005340 | 63C68836 | ---- loadmgr
 CPD partition   | Code                  | 000EF7C0 | 00001500 | 45182923 | ---- busdrv
 CPD partition   | Code                  | 000F0CC0 | 00000D80 | 4EE5C090 | ---- prtc
 CPD partition   | Code                  | 000F1A40 | 0000205D | D0676F1A | ---- smbus
 Padding         | Empty (0xFF)          | 000F3A9D | 00000023 | FA5D584F | ---- Padding
 CPD partition   | Code                  | 000F3AC0 | 00028100 | 8BA81030 | ---- crypto
 CPD partition   | Code                  | 0011BBC0 | 00003780 | 3D0FEE40 | ---- fpf
 CPD partition   | Code                  | 0011F340 | 0000D480 | 66351B16 | ---- storage
 CPD partition   | Code                  | 0012C7C0 | 00001840 | 0D020B7B | ---- gpio
 CPD partition   | Code                  | 0012E000 | 000025C0 | D3DAE945 | ---- ipc_drv
 CPD partition   | Code                  | 001305C0 | 00000880 | 443FE5BD | ---- sec_msg
 CPD partition   | Code                  | 00130E40 | 00006A40 | 589A44F6 | ---- policy
 CPD partition   | Code                  | 00137880 | 00006340 | 05C517C1 | ---- heci
 CPD partition   | Code                  | 0013DBC0 | 00001D80 | 919ADA35 | ---- pmdrv
 CPD partition   | Code                  | 0013F940 | 000026C0 | 6EEAC061 | ---- maestro
 CPD partition   | Code                  | 00142000 | 00006840 | E0C83033 | ---- fwupdate
 CPD partition   | Code                  | 00148840 | 0001D780 | E55DDB7D | ---- ptt
 CPD partition   | Code                  | 00165FC0 | 00002580 | C1E45472 | ---- mca_boot
 CPD partition   | Code                  | 00168540 | 00007000 | 556CF8C4 | ---- mca_srv
 Padding         | Empty (0xFF)          | 0016F540 | 00018AC0 | 6D5F7160 | ---- Padding
 BPDT partition  |                       | 00188000 | 00001000 | F653ACD6 | --- OEM Key Manifest | OEM Key Manifest
 CPD store       |                       | 00188000 | 0000002C | 21A11853 | ---- CPD partition table
 CPD entry       |                       | 00188014 | 00000018 | 0F861959 | ----- OEMP.man
 CPD partition   | Manifest              | 0018802C | 00000498 | DE9CCEF4 | ---- OEMP.man
 CPD extension   |                       | 0018802C | 00000034 | C12EB570 | ----- Signed Package Info
 CPD extension   |                       | 00188060 | 00000068 | F904BA76 | ----- IFWI Partition Manifest
 CPD extension   |                       | 001880C8 | 00000078 | 6C718EB3 | ----- Key Manifest
 Padding         | Empty (0xFF)          | 001884C4 | 00000B3C | 47E2624E | ---- Padding
 BPDT partition  |                       | 00189000 | 0000D000 | 67B9C686 | --- TCSS FW PHY | TCSS FW PHY
 CPD store       |                       | 00189000 | 000000BC | 9DE6D128 | ---- CPD partition table
 CPD entry       |                       | 00189014 | 00000018 | A19AD12B | ----- NPHY.man
 CPD entry       |                       | 0018902C | 00000018 | 4172F555 | ----- gen4_i
 CPD entry       |                       | 00189044 | 00000018 | 92D62388 | ----- gen4_i.met
 CPD entry       |                       | 0018905C | 00000018 | 83C49532 | ----- gen4_d
 CPD entry       |                       | 00189074 | 00000018 | 9F8A9F45 | ----- gen4_d.met
 CPD entry       |                       | 0018908C | 00000018 | 3131566F | ----- gen5
 CPD entry       |                       | 001890A4 | 00000018 | 4579D867 | ----- gen5.met
 CPD partition   | Manifest              | 001890BC | 000004EC | BA2639C4 | ---- NPHY.man
 CPD extension   |                       | 001890BC | 00000100 | 87A5AC9F | ----- Signed Package Info
 CPD SPI entry   |                       | 001890BC | 00000044 | 5E130150 | ------ gen4_i
 CPD SPI entry   |                       | 00189100 | 00000044 | 8816B296 | ------ gen4_d
